tipo_bicho,nombre,gram,morfologia,respiracion ,motilidad,patogena,fermentadora_de_lactosa,flagelos,esporas,fermentadora_de_glucosa,catalasa positiva,tipo_hifa,tamaño,antibiotico,comestible,forma_celula,medicinal,toxico,celula,parasito,saprofito,patogeno,mat_gen,cadena ,envoltura,vectores,huesped,retrotranscriptasa,vacuna,transmision,genero
bacteria,Streptococcus ,positiva ,coco,anaerobio ,no,sí,no,no,no,sí,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bacteria,lactobacillus casei,positiva ,bacilo ,anaerobio ,no,no,sí,no,no,sí,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bacteria,staphylococcus aureus,positiva ,coco,anaerobio ,no,sí,no,no,no,sí,sí,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bacteria,moraxella catarrhalis,negativa,coco,aerobio,no,sí,no,no,no,no,sí,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bacteria,vibrio cholerae,negativa,bacilo ,anaerobio ,sí,sí,no,sí,no,sí,sí,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bacteria,bacillus anthracis,positiva ,bacilo ,aerobio,no,sí,no,sí,sí,sí,sí,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bacteria,samonella enterica,negativa,bacilo ,anaerobio ,sí,sí,no,sí,no,sí,sí,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bacteria,escherichia coli,negativa,bacilo ,anaerobio ,sí,sí,sí,sí,no,sí,sí,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bacteria,clostridium botulinum,positiva ,bacilo ,anaerobio ,no,sí,no,no,sí,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bacteria,listeria monocytogenes ,positiva ,bacilo ,anaerobio ,sí,sí,no,sí,no,sí,sí,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bacteria,bacillus thuringiensis,positiva ,bacilo ,aerobio,no,no,no,sí,sí,sí,sí,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bacteria,vibrio fischeri ,negativa,bacilo ,anaerobio ,sí,no,no,sí,no,sí,sí,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bacteria,mycobacterium tuberculosis,NA,bacilo ,aerobio,no,sí,no,no,no,no,sí,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bacteria,azotobacter chroococcum ,negativa,bacilo ,aerobio,sí,no,no,sí,no,no,sí,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bacteria,clostridium tetani ,positiva ,bacilo ,anaerobio ,no,sí,no,no,sí,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bacteria,bifidobacterium,positiva ,bacilo ,anaerobio ,no,no,no,no,no,sí,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bacteria,neisseria gonorrhoeae,negativa,coco,aerobio,no,sí,no,no,no,no,sí,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bacteria,klebsiella pneumoniae,negativa,bacilo ,anaerobio ,no,sí,sí,no,no,sí,sí,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bacteria,lactobacillus acidophilus,positiva ,bacilo ,anaerobio ,no,no,sí,no,no,sí,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bacteria,bacillus subtilis,positiva ,bacilo ,aerobio,sí,no,no,sí,sí,sí,sí,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hongo,saccharomyces cerevisiae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no septada,microscopico,no,no,levadura,no,no,unicelular,no,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
hongo,candida albicans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no septada,microscopico,no,no,levadura,no,no,unicelular,no,no,si,NA,NA,NA,NA,NA,NA,NA,NA,NA
hongo,aspergillus fumigatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no septada,microscopico,no,no,hifa,no,no,multicelular,no,si,si,NA,NA,NA,NA,NA,NA,NA,NA,NA
hongo,penicillium chrysogenum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,septada,microscopico,si,no,hifa,no,no,multicelular,no,si,si,NA,NA,NA,NA,NA,NA,NA,NA,NA
hongo,aspergillus niger,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no septada,microscopico,no,no,hifa,no,no,multicelular,no,si,si,NA,NA,NA,NA,NA,NA,NA,NA,NA
hongo,rhizopus stolonifer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no septada,microscopico,no,no,hifa,no,no,multicelular,si,si,si,NA,NA,NA,NA,NA,NA,NA,NA,NA
hongo,claviceps purpurea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,septada,microscopico,no,no,hifa,no,si,multicelular,si,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
